timestamp,slam_pose_x,slam_pose_y,wheel_pose_x,wheel_pose_y,slam_rotation_theta,imu_rotation_theta
1777312812.8221867,0.5474196048387219,4.380641884613173,1.2955,4.4348,80.35864573181922,81.82133033293076
1777312812.8901923,0.5485700745113378,4.392770443807139,1.2955,4.4348,80.26710569577087,81.82133033293076
1777312812.8901923,0.5485700745113378,4.392770443807139,1.3002,4.4495,80.26710569577087,81.82133033293076
1777312812.8901923,0.5485700745113378,4.392770443807139,1.3002,4.4495,80.26710569577087,81.78953295482455
1777312812.9582105,0.5525598589597394,4.400599302382955,1.3002,4.4495,80.25701436649916,81.78953295482455
1777312812.992243,0.5536076345835177,4.406417781131138,1.3002,4.4495,80.33301361223823,81.78953295482455
1777312812.992243,0.5536076345835177,4.406417781131138,1.3045,4.464,80.33301361223823,81.78953295482455
1777312812.992243,0.5536076345835177,4.406417781131138,1.3045,4.464,80.33301361223823,81.7869993014458
1777312813.0603359,0.5546077147149511,4.4151529736636865,1.3045,4.464,80.38270532927174,81.7869993014458
1777312813.0603359,0.5546077147149511,4.4151529736636865,1.3093,4.4786,80.38270532927174,81.7869993014458
1777312813.0942016,0.5674438292211249,4.432696718768451,1.3093,4.4786,80.67840333403862,81.7869993014458
1777312813.0942016,0.5674438292211249,4.432696718768451,1.3093,4.4786,80.67840333403862,81.82347710647059
1777312813.1623437,0.5590332130493738,4.432641697790282,1.3093,4.4786,80.34604487931685,81.82347710647059
1777312813.1623437,0.5590332130493738,4.432641697790282,1.3134000000000001,4.4932,80.34604487931685,81.82347710647059
1777312813.1623437,0.5590332130493738,4.432641697790282,1.3134000000000001,4.4932,80.34604487931685,81.85558798954924
1777312813.2302442,0.5589441040334682,4.444056546634558,1.3134000000000001,4.4932,80.38456896303133,81.85558798954924
1777312813.2996247,0.5586848706098938,4.450445136330459,1.3134000000000001,4.4932,80.19878594237728,81.85558798954924
1777312813.2996247,0.5586848706098938,4.450445136330459,1.3183,4.5077,80.19878594237728,81.85558798954924
1777312813.2996247,0.5586848706098938,4.450445136330459,1.3183,4.5077,80.19878594237728,81.84097930602212
1777312813.3335114,0.5636148755020923,4.457117304692211,1.3183,4.5077,80.42066662905276,81.84097930602212
1777312813.405403,0.5689126339017005,4.472226877469348,1.3183,4.5077,80.45004348943382,81.84097930602212
1777312813.405403,0.5689126339017005,4.472226877469348,1.3226,4.5223,80.45004348943382,81.84097930602212
1777312813.405403,0.5689126339017005,4.472226877469348,1.3226,4.5223,80.45004348943382,81.8423477544635
1777312813.439551,0.5685576697720326,4.483734097571548,1.3226,4.5223,80.50150337711837,81.8423477544635
1777312813.439551,0.5685576697720326,4.483734097571548,1.3277999999999999,4.5373,80.50150337711837,81.8423477544635
1777312813.5063806,0.5717388057571298,4.486986716489657,1.3277999999999999,4.5373,80.41912519890633,81.8423477544635
1777312813.5063806,0.5717388057571298,4.486986716489657,1.3277999999999999,4.5373,80.41912519890633,81.79905504328116
1777312813.574218,0.5686874832649756,4.495308631261672,1.3277999999999999,4.5373,80.38296290770002,81.79905504328116
1777312813.574218,0.5686874832649756,4.495308631261672,1.3319,4.5513,80.38296290770002,81.79905504328116
1777312813.574218,0.5686874832649756,4.495308631261672,1.3319,4.5513,80.38296290770002,81.77887417914951
1777312813.6424997,0.5697917780052085,4.506610023684973,1.3319,4.5513,80.41204047384028,81.77887417914951
1777312813.6762366,0.5720648061582582,4.51231992541246,1.3319,4.5513,80.3731143501281,81.77887417914951
1777312813.6762366,0.5720648061582582,4.51231992541246,1.3373,4.5666,80.3731143501281,81.77887417914951
1777312813.6762366,0.5720648061582582,4.51231992541246,1.3373,4.5666,80.3731143501281,81.82112209050956
1777312813.7442088,0.5713023233808756,4.520456672130342,1.3373,4.5666,80.3416338333545,81.82112209050956
1777312813.8124347,0.5771925758902539,4.530951561081071,1.3373,4.5666,80.52242422584374,81.82112209050956
1777312813.8124347,0.5771925758902539,4.530951561081071,1.3422,4.5818,80.52242422584374,81.82112209050956
1777312813.8124347,0.5771925758902539,4.530951561081071,1.3422,4.5818,80.52242422584374,81.72965410697532
1777312813.8462503,0.5754515327918436,4.536777381383689,1.3422,4.5818,80.38481148226784,81.72965410697532
1777312813.9142144,0.5793439884321734,4.546731163362061,1.3422,4.5818,80.39236321150148,81.72965410697532
1777312813.9142144,0.5793439884321734,4.546731163362061,1.3476,4.598199999999999,80.39236321150148,81.72965410697532
1777312813.9142144,0.5793439884321734,4.546731163362061,1.3476,4.598199999999999,80.39236321150148,81.72331477011176
1777312813.9822564,0.581042741154383,4.557713181459671,1.3476,4.598199999999999,80.42522781051535,81.72331477011176
1777312813.9822564,0.581042741154383,4.557713181459671,1.3528,4.6141000000000005,80.42522781051535,81.72331477011176
1777312814.016265,0.5833331236072616,4.5607012290054225,1.3528,4.6141000000000005,80.42200948873108,81.72331477011176
1777312814.016265,0.5833331236072616,4.5607012290054225,1.3528,4.6141000000000005,80.42200948873108,81.73540000529636
1777312814.0843697,0.5880625487111001,4.571921748742768,1.3528,4.6141000000000005,80.47271565061854,81.73540000529636
1777312814.0843697,0.5880625487111001,4.571921748742768,1.358,4.63,80.47271565061854,81.73540000529636
1777312814.0843697,0.5880625487111001,4.571921748742768,1.358,4.63,80.47271565061854,81.6822307670551
1777312814.1522408,0.5827550067291573,4.578200297035707,1.358,4.63,80.30867634518121,81.6822307670551
1777312814.1862395,0.5853228951715487,4.58507445301103,1.358,4.63,80.37736880152711,81.6822307670551
1777312814.1862395,0.5853228951715487,4.58507445301103,1.3637000000000001,4.6467,80.37736880152711,81.6822307670551
1777312814.1862395,0.5853228951715487,4.58507445301103,1.3637000000000001,4.6467,80.37736880152711,81.71434657611917
1777312814.2542312,0.590444961751316,4.5976940251236735,1.3637000000000001,4.6467,80.28033266711952,81.71434657611917
1777312814.288283,0.5910239026891368,4.599296757662369,1.3637000000000001,4.6467,80.33327631296379,81.71434657611917
1777312814.288283,0.5910239026891368,4.599296757662369,1.3687,4.6625,80.33327631296379,81.71434657611917
1777312814.288283,0.5910239026891368,4.599296757662369,1.3687,4.6625,80.33327631296379,81.6878105986143
1777312814.356268,0.5955045444022957,4.61339490622832,1.3687,4.6625,80.30140471661879,81.6878105986143
1777312814.4243894,0.5902458263625623,4.627575516024595,1.3687,4.6625,80.18474873924694,81.6878105986143
1777312814.4243894,0.5902458263625623,4.627575516024595,1.3738,4.6783,80.18474873924694,81.6878105986143
1777312814.4243894,0.5902458263625623,4.627575516024595,1.3738,4.6783,80.18474873924694,81.81246609295454
1777312814.4583962,0.5991727700199042,4.628494742062981,1.3738,4.6783,80.34909515034167,81.81246609295454
1777312814.4583962,0.5991727700199042,4.628494742062981,1.3789,4.6934,80.34909515034167,81.81246609295454
1777312814.5262833,0.5940689442824502,4.640739256327977,1.3789,4.6934,80.18295344623162,81.81246609295454
1777312814.5262833,0.5940689442824502,4.640739256327977,1.3789,4.6934,80.18295344623162,81.75718233439011
1777312814.560473,0.5991193484711244,4.6484241455607895,1.3789,4.6934,80.19078056489785,81.75718233439011
1777312814.560473,0.5991193484711244,4.6484241455607895,1.3838,4.7089,80.19078056489785,81.75718233439011
1777312814.6283684,0.5968940066461764,4.656681533885297,1.3838,4.7089,80.16724779123071,81.75718233439011
1777312814.6283684,0.5968940066461764,4.656681533885297,1.3838,4.7089,80.16724779123071,81.72694806456406
1777312814.662277,0.600091686906103,4.6676236756197085,1.3838,4.7089,80.29019667736445,81.72694806456406
1777312814.662277,0.600091686906103,4.6676236756197085,1.389,4.7248,80.29019667736445,81.72694806456406
1777312814.662277,0.600091686906103,4.6676236756197085,1.389,4.7248,80.29019667736445,81.7977776355417
1777312814.7303047,0.605491156076956,4.671809791498707,1.389,4.7248,80.24402631416727,81.7977776355417
1777312814.7642727,0.604213306522297,4.684486819558949,1.389,4.7248,80.29524520113108,81.7977776355417
1777312814.7642727,0.604213306522297,4.684486819558949,1.3937,4.7393,80.29524520113108,81.7977776355417
1777312814.7642727,0.604213306522297,4.684486819558949,1.3937,4.7393,80.29524520113108,81.70947545921922
1777312814.832271,0.604861221611153,4.6885034677443445,1.3937,4.7393,80.35275992322141,81.70947545921922
1777312814.9022853,0.6099274800055433,4.6989736691439585,1.3937,4.7393,80.25913342124295,81.70947545921922
1777312814.9022853,0.6099274800055433,4.6989736691439585,1.3985,4.7554,80.25913342124295,81.70947545921922
1777312814.9022853,0.6099274800055433,4.6989736691439585,1.3985,4.7554,80.25913342124295,81.80440714614366
1777312814.9362638,0.6110543392006007,4.7085439126581825,1.3985,4.7554,80.31175757269922,81.80440714614366
1777312815.0070894,0.6067743272645214,4.721919597221203,1.3985,4.7554,80.14644997049504,81.80440714614366
1777312815.0070894,0.6067743272645214,4.721919597221203,1.4036,4.7705,80.14644997049504,81.80440714614366
1777312815.0070894,0.6067743272645214,4.721919597221203,1.4036,4.7705,80.14644997049504,81.80440714614366
1777312815.041354,0.6190331322677955,4.72844754174417,1.4036,4.7705,80.36098759458451,81.80440714614366
1777312815.110292,0.6154138337541474,4.738193457216458,1.4036,4.7705,80.31171849428158,81.80440714614366
1777312815.110292,0.6154138337541474,4.738193457216458,1.4082000000000001,4.7858,80.31171849428158,81.80440714614366
1777312815.110292,0.6154138337541474,4.738193457216458,1.4082000000000001,4.7858,80.31171849428158,81.75260460803429
1777312815.1444683,0.6165012096951709,4.742603528622158,1.4082000000000001,4.7858,80.33195503308251,81.75260460803429
1777312815.2122974,0.6220901679659557,4.751812532541081,1.4082000000000001,4.7858,80.30225707505186,81.75260460803429
1777312815.2122974,0.6220901679659557,4.751812532541081,1.4133,4.8006,80.30225707505186,81.75260460803429
1777312815.2122974,0.6220901679659557,4.751812532541081,1.4133,4.8006,80.30225707505186,81.77360964752722
1777312815.246291,0.6170276392819259,4.760915439336754,1.4133,4.8006,80.1900713767363,81.77360964752722
1777312815.314336,0.6149827717287129,4.768771938922283,1.4133,4.8006,80.25281436291533,81.77360964752722
1777312815.314336,0.6149827717287129,4.768771938922283,1.4177,4.8148,80.25281436291533,81.77360964752722
1777312815.314336,0.6149827717287129,4.768771938922283,1.4177,4.8148,80.25281436291533,81.5992844242968
1777312815.3483133,0.6174778276816602,4.774603797060822,1.4177,4.8148,80.2660978064782,81.5992844242968
1777312815.4163685,0.6255057017905907,4.784796728064472,1.4177,4.8148,80.28103330626438,81.5992844242968
1777312815.4163685,0.6255057017905907,4.784796728064472,1.4228,4.8294,80.28103330626438,81.5992844242968
1777312815.4163685,0.6255057017905907,4.784796728064472,1.4228,4.8294,80.28103330626438,81.7544924263517
1777312815.4503498,0.6179901038224432,4.791271297354256,1.4228,4.8294,80.09483940185113,81.7544924263517
1777312815.5184622,0.623683737728281,4.800597312281955,1.4228,4.8294,80.17400702557153,81.7544924263517
1777312815.5184622,0.623683737728281,4.800597312281955,1.4275,4.8437,80.17400702557153,81.7544924263517
1777312815.5184622,0.623683737728281,4.800597312281955,1.4275,4.8437,80.17400702557153,81.66387740720779
1777312815.5523863,0.6299763467149212,4.803205491046221,1.4275,4.8437,80.2618712904943,81.66387740720779
1777312815.5863483,0.6284392143042542,4.812496364659528,1.4275,4.8437,80.19135603611339,81.66387740720779
1777312815.5863483,0.6284392143042542,4.812496364659528,1.4319000000000002,4.8576999999999995,80.19135603611339,81.66387740720779
1777312815.5863483,0.6284392143042542,4.812496364659528,1.4319000000000002,4.8576999999999995,80.19135603611339,81.71213008927333
1777312815.6543202,0.6283185717823907,4.820605793330869,1.4319000000000002,4.8576999999999995,80.3163301858387,81.71213008927333
1777312815.6883433,0.6225253702944638,4.824465986490808,1.4319000000000002,4.8576999999999995,80.06027997787466,81.71213008927333
1777312815.6883433,0.6225253702944638,4.824465986490808,1.4364000000000001,4.8705,80.06027997787466,81.71213008927333
1777312815.6883433,0.6225253702944638,4.824465986490808,1.4364000000000001,4.8705,80.06027997787466,81.6430752810852
1777312815.7225106,0.6383886040178206,4.832095283254471,1.4364000000000001,4.8705,80.49909587327075,81.6430752810852
1777312815.7903075,0.631644009397307,4.844222537390107,1.4364000000000001,4.8705,80.24595441079991,81.6430752810852
1777312815.7903075,0.631644009397307,4.844222537390107,1.4409,4.884399999999999,80.24595441079991,81.6430752810852
1777312815.7903075,0.631644009397307,4.844222537390107,1.4409,4.884399999999999,80.24595441079991,81.72726036082918
1777312815.8583477,0.6267067392516773,4.848443891383761,1.4409,4.884399999999999,80.13196764337975,81.72726036082918
1777312815.8923206,0.6342567152842091,4.854564179159347,1.4409,4.884399999999999,80.22869775087585,81.72726036082918
1777312815.8923206,0.6342567152842091,4.854564179159347,1.4455,4.8987,80.22869775087585,81.72726036082918
1777312815.8923206,0.6342567152842091,4.854564179159347,1.4455,4.8987,80.22869775087585,81.69145504576079
1777312815.9604628,0.6355670528343582,4.866289460276295,1.4455,4.8987,80.18370305245283,81.69145504576079
1777312815.9944344,0.6347756223377304,4.870321475703912,1.4455,4.8987,80.2083525097933,81.69145504576079
1777312815.9944344,0.6347756223377304,4.870321475703912,1.4505,4.9142,80.2083525097933,81.69145504576079
