timestamp,slam_pose_x,slam_pose_y,wheel_pose_x,wheel_pose_y,slam_rotation_theta,imu_rotation_theta,driven_dist_m,xy_euclidean_error_m,x_error_m,y_error_m,yaw_error_deg
1777312769.4867,0.007748,0.002789,0.000000,0.000000,90.1502,90.0000,0.0019,0.008235,0.007748,0.002789,0.1502
1777312769.5236,-0.001257,-0.004013,0.000000,0.000000,89.9741,90.0000,0.0019,0.004205,-0.001257,-0.004013,-0.0259
1777312769.5580,-0.005095,-0.001126,0.000000,0.000000,89.9049,90.0000,0.0019,0.005217,-0.005095,-0.001126,-0.0951
1777312769.5916,-0.002010,0.000865,0.000000,0.000000,89.9638,90.0000,0.0019,0.002188,-0.002010,0.000865,-0.0362
1777312769.5916,-0.002010,0.000865,0.000000,-0.000000,89.9638,90.0000,0.0019,0.002188,-0.002010,0.000865,-0.0362
1777312769.6259,-0.002818,-0.000384,0.000000,-0.000000,89.9498,90.0000,0.0019,0.002844,-0.002818,-0.000384,-0.0502
1777312769.6259,-0.002818,-0.000384,0.000000,-0.000000,89.9498,90.0000,0.0019,0.002844,-0.002818,-0.000384,-0.0502
1777312769.6259,-0.002818,-0.000384,0.000000,0.000000,89.9498,90.0000,0.0019,0.002844,-0.002818,-0.000384,-0.0502
1777312769.6599,0.001183,-0.000474,0.000000,0.000000,90.0283,90.0000,0.0019,0.001275,0.001183,-0.000474,0.0283
1777312769.6599,0.001183,-0.000474,0.000000,0.000000,90.0283,90.0000,0.0019,0.001275,0.001183,-0.000474,0.0283
1777312769.6940,-0.002347,0.003714,0.000000,0.000000,89.9618,90.0000,0.0019,0.004393,-0.002347,0.003714,-0.0382
1777312769.6940,-0.002347,0.003714,0.000000,0.000000,89.9618,90.0000,0.0019,0.004393,-0.002347,0.003714,-0.0382
1777312769.6940,-0.002347,0.003714,0.000000,0.000000,89.9618,90.0000,0.0019,0.004393,-0.002347,0.003714,-0.0382
1777312769.7275,0.003579,0.004966,0.000000,0.000000,90.0850,90.0000,0.0019,0.006121,0.003579,0.004966,0.0850
1777312769.7608,0.004189,0.004074,0.000000,0.000000,90.0790,90.0000,0.0019,0.005844,0.004189,0.004074,0.0790
1777312769.7946,-0.005375,0.000114,0.000000,0.000000,89.9048,90.0000,0.0019,0.005376,-0.005375,0.000114,-0.0952
1777312769.7946,-0.005375,0.000114,0.000000,-0.000000,89.9048,90.0000,0.0019,0.005376,-0.005375,0.000114,-0.0952
1777312769.7946,-0.005375,0.000114,0.000000,-0.000000,89.9048,90.0000,0.0019,0.005376,-0.005375,0.000114,-0.0952
1777312769.8291,0.004055,0.004365,0.000000,-0.000000,90.0735,90.0000,0.0019,0.005958,0.004055,0.004365,0.0735
1777312769.8628,0.019392,0.003313,0.000000,-0.000000,90.3563,90.0000,0.0019,0.019673,0.019392,0.003313,0.3563
1777312769.8968,0.012294,0.004894,0.000000,-0.000000,90.2251,90.0000,0.0019,0.013232,0.012294,0.004894,0.2251
1777312769.8968,0.012294,0.004894,0.000000,0.000000,90.2251,90.0000,0.0019,0.013232,0.012294,0.004894,0.2251
1777312769.8968,0.012294,0.004894,0.000000,0.000000,90.2251,90.0000,0.0019,0.013232,0.012294,0.004894,0.2251
1777312769.9306,-0.001776,0.000954,0.000000,0.000000,89.9733,90.0000,0.0019,0.002016,-0.001776,0.000954,-0.0267
1777312769.9646,0.003210,0.001883,0.000000,0.000000,90.0665,90.0000,0.0019,0.003721,0.003210,0.001883,0.0665
1777312769.9989,-0.003347,0.000980,0.000000,0.000000,89.9326,90.0000,0.0019,0.003488,-0.003347,0.000980,-0.0674
1777312769.9989,-0.003347,0.000980,0.000000,0.000000,89.9326,90.0000,0.0019,0.003488,-0.003347,0.000980,-0.0674
1777312769.9989,-0.003347,0.000980,0.000000,0.000000,89.9326,90.0000,0.0019,0.003488,-0.003347,0.000980,-0.0674
1777312770.0328,0.009259,0.002885,0.000000,0.000000,90.1719,90.0000,0.0019,0.009698,0.009259,0.002885,0.1719
1777312770.0668,-0.006027,-0.006782,0.000000,0.000000,89.8832,90.0000,0.0019,0.009073,-0.006027,-0.006782,-0.1168
1777312770.0668,-0.006027,-0.006782,0.000100,-0.000000,89.8832,90.0000,0.0020,0.009140,-0.006127,-0.006782,-0.1168
