Thu Jun 11 15:48:29 2026    fastslam.prof_LORANSAC3

         26344788 function calls (26077589 primitive calls) in 114.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      114    0.002    0.000    0.011    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_pose.py:90(__init__)
        4    0.005    0.001    0.010    0.003 {built-in method builtins.sorted}
      219    0.002    0.000    0.010    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/task.py:229(__init__)
      438    0.004    0.000    0.010    0.000 /usr/lib/python3.12/inspect.py:384(_has_code_flag)
       69    0.002    0.000    0.010    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:124(depth_subscription)
      944    0.005    0.000    0.010    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:432(wrap_angle)
      514    0.005    0.000    0.009    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_point.py:87(__init__)
       69    0.001    0.000    0.009    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_pose_with_covariance.py:91(__init__)
       77    0.000    0.000    0.009    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/tf2_ros/transform_listener.py:115(callback)
      449    0.005    0.000    0.008    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_vector3.py:87(__init__)
     1900    0.006    0.000    0.008    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/event_handler.py:118(get_num_entities)
        1    0.000    0.000    0.008    0.008 /opt/ros/jazzy/lib/python3.12/site-packages/tf_transformations/__init__.py:776(quaternion_matrix)
       77    0.001    0.000    0.008    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/tf2_ros/buffer.py:111(set_transform)
        1    0.008    0.008    0.008    0.008 /usr/lib/python3/dist-packages/transforms3d/affines.py:249(compose)
       69    0.001    0.000    0.007    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_twist_with_covariance.py:91(__init__)
     1900    0.007    0.000    0.007    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/event_handler.py:127(__enter__)
       77    0.004    0.000    0.007    0.000 {function Buffer.set_transform at 0x7a44e7d35940}
       41    0.001    0.000    0.007    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_pose_stamped.py:90(__init__)
      219    0.002    0.000    0.006    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:84(__exit__)
     4518    0.006    0.000    0.006    0.000 {method '__exit__' of '_thread.lock' objects}
      139    0.001    0.000    0.005    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/cv_bridge/core.py:103(encoding_to_dtype_with_channels)
     3990    0.005    0.000    0.005    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/node.py:278(waitables)
  1745/18    0.019    0.000    0.005    0.000 /usr/lib/python3.12/contextlib.py:511(enter_context)
     3895    0.005    0.000    0.005    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/waitable.py:26(__init__)
       69    0.001    0.000    0.005    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_twist.py:86(__init__)
     4000    0.005    0.000    0.005    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:508(<lambda>)
     3230    0.005    0.000    0.005    0.000 /usr/lib/python3.12/contextlib.py:471(_create_exit_wrapper)
     1097    0.003    0.000    0.005    0.000 /usr/lib/python3.12/inspect.py:299(ismethod)
      219    0.002    0.000    0.004    0.000 /usr/lib/python3.12/inspect.py:405(_has_coroutine_mark)
     3230    0.004    0.000    0.004    0.000 {method 'append' of 'collections.deque' objects}
     3230    0.004    0.000    0.004    0.000 {method 'pop' of 'collections.deque' objects}
      139    0.004    0.000    0.004    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/cv_bridge/core.py:95(encoding_to_cvtype2)
      219    0.001    0.000    0.003    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:79(__enter__)
      218    0.001    0.000    0.003    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/task.py:121(set_result)
      219    0.001    0.000    0.003    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/task.py:40(__init__)
       69    0.000    0.000    0.003    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/tf_transformations/__init__.py:745(quaternion_from_euler)
     1988    0.003    0.000    0.003    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/service.py:101(handle)
      657    0.002    0.000    0.003    0.000 /usr/lib/python3.12/functools.py:421(_unwrap_partial)
      438    0.001    0.000    0.003    0.000 /usr/lib/python3.12/threading.py:299(__enter__)
      219    0.001    0.000    0.002    0.000 /usr/lib/python3.12/threading.py:424(notify_all)
   210/13    0.002    0.000    0.002    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:479(_execute)
   216/13    0.003    0.000    0.002    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:108(await_or_execute)
     1575    0.002    0.000    0.002    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/subscription.py:88(handle)
     1512    0.002    0.000    0.002    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/node.py:263(services)
       69    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/transforms3d/euler.py:306(euler2quat)
      438    0.001    0.000    0.002    0.000 /usr/lib/python3.12/threading.py:302(__exit__)
        4    0.000    0.000    0.002    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/visualization_msgs/msg/_marker.py:309(__init__)
      438    0.001    0.000    0.002    0.000 /usr/lib/python3.12/inspect.py:371(isfunction)
        4    0.000    0.000    0.002    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/sensor_msgs_py/point_cloud2.py:311(create_cloud_xyz32)
     1040    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/std_msgs/msg/_header.py:145(stamp)
     1069    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/builtin_interfaces/msg/_time.py:140(sec)
      946    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/node.py:253(subscriptions)
     1069    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/builtin_interfaces/msg/_time.py:155(nanosec)
     1034    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/std_msgs/msg/_header.py:159(frame_id)
      218    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/task.py:146(_schedule_or_invoke_done_callbacks)
      219    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/task.py:170(_set_executor)
      149    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/tf2_msgs/msg/_tf_message.py:83(__init__)
      438    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.RLock' objects}
      219    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:225(_exit_spin)
        4    0.000    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/sensor_msgs_py/point_cloud2.py:238(create_cloud)
      219    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:218(_enter_spin)
      219    0.001    0.000    0.001    0.000 /usr/lib/python3.12/threading.py:394(notify)
